Pulsar,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),ANTF Binary (type),Model,Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),S150 (mJy),u_S150 (mJy),S300 (mJy),u_S300 (mJy),S5000 (mJy),u_S5000 (mJy),S10000 (mJy),u_S10000 (mJy),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,lps_a,lps_u_a,lps_b,lps_u_b,lps_c,lps_u_c,SMART
J0014+4746,1.2406990389455896,5.644584230506426e-16,0.805997239145,-3.6669e-16,30.405,846835742960.678,1.4879431729743445e+25,1.1667890839703214e+31,,simple_power_law,0.9162238957279059681,59.14,1408.0,9,True,17.910796500673825,4.9438637790674465,15.557016917266395,6.20754573904993,7.631462492710962,5.826370362061952,0.4237567840291842,1.1106429427561084,0.20787301450841267,0.6421664552514408,34825753.759158485,-1.0275339811736772,0.6785120789798742,0.007942400717748765,0.005869808510211259,,,,,,,,,,,,,,,,,,,False
J0024-7204C,0.005756779995516346,-4.9850295447175405e-20,173.708218965958,1.50421e-15,24.5955,,,,,low_frequency_turn_over_power_law,0.79147899613981320677,436.0,3968.0,28,True,25.174728724837134,12.354175491095091,0.04943393785716657,0.006238972118698927,0.7240541090183118,0.0567374908641325,0.008177198554848374,0.0005576026568084333,0.0002872214513809559,2.1382626835429347e-05,,-7.999999995841898,1.6894351775854188,5044.940528564044,687.7510967018802,,,,,,,,,600447831.1971191,8948500.136335373,0.37670214633052074,0.0027261597888718903,,,,,,,False
J0024-7204D,0.00535757328486573,-3.422042178952725e-21,186.651669856731,1.1922e-16,24.7432,,,,,double_turn_over_spectrum,0.98662452019948809756,436.0,3968.0,28,False,10.657226843715824,7.161320228523261,0.1427621670461366,,0.41510999486698974,,0.0,,0.0,,,-5.638740425639648,0.07479718989556305,8762980.110145,2724456.239049467,,,,,,,4226984899.0056276,240433926.05805874,692155803.2440052,40655087.23881447,0.20976716479115443,0.0025160837921615886,,,,,,,False
J0024-7204J,0.0021006335453524617,-9.791695406637457e-21,476.04685844061,2.219e-15,24.5932,,,,BTX,low_frequency_turn_over_power_law,0.7768078110051099827,768.0,3968.0,26,True,49.06292957455618,10.842108232234931,3.334182581876623e-24,3.594510603322398e-24,0.01187300076563218,0.00267771123177985,3.7069850870865194e-05,1.2434705229850108e-06,1.4995698011142534e-07,5.110374108884469e-09,,-7.9999999997791225,0.3388481213990353,0.00017573367079783662,6.017344118162114e-06,,,,,,,,,607848955.5595083,4473145.638091385,2.099999999704984,0.07773232444522171,,,,,,,False
J0026+6320,0.3183577707853687,1.5060858194607203e-16,3.1411201226,-1.486e-15,245.06,221581024249.2009,6.577589375270241e+22,1.8427358759094346e+32,,simple_power_law,1.0,300.0,1400.0,4,False,184.89538430214316,44.91179025024108,12.77923835743485,4.69852406740829,5.8407550127241805,1.1171705307848592,0.2433879630405302,0.186339658776222,0.11124054700322947,0.1087400220117718,33491282.05900477,-1.1295750761210306,0.31010144342577467,0.002446934237342509,0.00046126078114091867,,,,,,,,,,,,,,,,,,,False
J0030+0451,0.00486545321149608,1.0172131239414756e-20,205.53069910059,-4.297e-16,4.33294,225121827.66921517,238547755647444.56,3.4865973029008246e+33,,double_turn_over_spectrum,0.9999998622819346039,50.0,2100.0,14,True,1.038489110777098,0.06006231329191774,82.27846208618709,1.1197727727731874,18.823656957903378,0.3587028375817319,0.02916140676123331,0.002222232620727196,0.0052363615493432455,0.0004777001549874111,7578397534.999134,-2.2680624096869777,0.021967835847550132,0.0164135173155602,0.000330668278090104,,,,,,,41999999999.94439,39780209411.25757,54997635.48241398,180290.46955967322,2.0999999999996875,1.246225992721212,,,,,,,True
J0034-0534,0.001877181884585,4.966e-21,532.7134297490177,-1.4092693488348192e-15,13.76517,97702688.21573687,5945842540999.361,2.9637897279528443e+34,ELL1,double_turn_over_spectrum,0.9999988921573296219,50.0,1660.0,35,True,20.423824958848925,0.08100941844206273,332.407531906032,25.994016711391023,35.07816416141648,4.068624869626965,0.0001083217984506797,8.052058093074533e-05,3.4798831488991354e-06,3.2516382444718953e-06,5989156705.762569,-4.693776127816843,0.2852366510580375,0.08529438557056862,0.014953435755212248,,,,,,,33199999755.73312,16571686959.471928,84064578.81877422,550801.8169626221,1.3009361883537995,0.09445472101649388,,,,,,,True
J0034-0721,0.9429509945597656,4.082100067114921e-16,1.0605004987209,-4.59098e-16,10.922,627821758607.8699,4.842744529215403e+24,1.9221001589575745e+31,,double_turn_over_spectrum,0.9876102034271133645,20.0,1408.0,47,True,55.75200910682608,1.2427484182039026,383.7954418627477,11.96577001981221,105.54504385482875,6.9027052067972425,0.010177713980075945,0.0044114839867933535,0.0005422868759599021,0.0002932286184923654,36599193.34247739,-4.255498295614867,0.17137811297142402,54.315193790863525,19.35173355493801,,,,,,,28159999985.51252,23983827315.43586,71073717.07087079,2175458.741213545,0.5285923479266468,0.020668619025861146,,,,,,,True
J0040+5716,1.1182253452411999,2.8789727450368897e-15,0.8942741320036,-2.30239e-15,92.5146,1815655379955.4292,2.3356579549894457e+25,8.128479138387854e+31,,simple_power_law,0.5554431142133878785,102.5,1606.0,9,True,31.347938414591802,4.613096310808409,23.996496626665355,4.064962243213862,8.311642149962175,0.7666632523991855,0.11238919772731613,0.02938436927136261,0.03892813220046304,0.013374232276857346,6154004.583225386,-1.5296183478598857,0.11987466586262696,0.0052376117283258515,0.0003326163976627287,,,,,,,,,,,,,,,,,,,False
J0048+3412,1.2170942960575557,2.354540983090378e-15,0.821629025162,-1.58949e-15,39.922,1713030986865.5388,2.8413565018405377e+25,5.155767322319507e+31,,simple_power_law,0.9717969635804351025,100.0,408.0,7,False,43.099918859618604,2.3842729872324777,20.525432269268265,6.9172705757153805,4.137463224804381,0.6290958462754249,0.0062163791919326765,0.00702012724317305,0.0012530815410192356,0.0017644769139393626,8190002.04464591,-2.310594211818216,0.40478003080601377,0.01031986074523065,0.002429075395139599,,,,,,,,,,,,,,,,,,,False
