Pulsar,Model,Max freq (MHz),S5000 (mJy),S10000 (mJy),u_S5000 (mJy),u_S10000 (mJy)
J0023+0923,SPL,1400.0,0.0714002238837788,0.024764285946823,0.0517977541637194,0.0253018915529597
J0026+6320,SPL,1400.0,0.1174508378029581,0.0451976378589894,0.0934802062099766,0.0468360716099542
J0040+5716,BPL,4850.0,0.0746873462098247,0.022441656070952,,
J0051+0423,SPL,1360.0,0.119366132638544,0.0557316063197294,0.0463275347516312,0.0266010127065969
J0055+5117,SPL,1435.0,1.0932336033570165,0.8540470745644512,0.6053910784558928,0.6978741191398178
J0108+6905,SPL,1420.0,0.1052312611877171,0.0516049125374225,0.0738155860102896,0.0461860443011072
J0122+1416,SPL,350.0,0.153372469018113,0.0794511021310199,0.211048930004908,0.1268866475380878
J0134-2937,SPL,1360.0,2.6883670912666866,2.0642528160375817,1.1878162648910202,1.145869233837017
J0147+5922,BPL,4920.0,0.8992341236977299,0.6254207591095077,0.0427731212161313,0.0718267157108492
J0151-0635,LFTO,1408.0,0.5919656353134517,0.340224869446539,0.2479916027583112,0.1821993785436441
J0156+3949,SPL,408.0,2.38413261774578,2.155308201231773,4.01386653396555,4.532236349703308
J0157+6212,LFTO,1408.0,0.1262631984440682,0.0188897679178087,0.2280266003323874,0.0529839906175542
J0206-4028,SPL,1440.0,0.1035703947464565,0.030299685629679,0.0368793131868336,0.0135679626764807
J0212+5222,SPL,1400.0,0.3639689486898959,0.2488106994730548,0.7174340727186179,0.62385998828097
J0215+6218,SPL,1400.0,3.294514589266685,2.4595970574447725,4.133427002841917,3.5714856874385865
J0231+7026,SPL,1420.0,0.0461363105545163,0.0156901133187254,0.0189909055195056,0.0081620817308498
J0255-5304,SPL,1360.0,1.555287760259805,0.8052917732091276,0.6370261739874665,0.4186610296011432
J0302+2252,SPL,1532.0,0.1367223860779548,0.0538226721271962,0.0955844163239767,0.0474149424602472
J0304+1932,LFTO,4850.0,0.4274293052449504,0.0642545171746584,,
J0335+4555,SPL,1410.0,0.2059849007468796,0.0872861917126997,0.079380456383504,0.0436119970459699
J0340+4130,SPL,1400.0,0.1033656990942848,0.0431565050523993,0.0643288420204976,0.0392320499501308
J0343+5312,SPL,1408.0,0.0514528948146087,0.0185145921792309,0.0240331865572737,0.0112844135540606
J0348+0432,SPL,1284.0,0.1803344932420984,0.093745416700925,0.0778608762265332,0.0589301719484617
J0401-7608,SPL,3100.0,0.5818457891189212,0.2241519061053574,0.239003985881706,0.1154555411909913
J0406+6138,LFTO,4850.0,0.2765369526997147,0.0597574039626962,,
J0415+6954,SPL,1420.0,0.0504607196305491,0.0146707539469954,0.0167422063685441,0.0063835836569049
J0418-4154,SPL,843.0,0.0821616893605233,0.0227781235611787,0.0344687165569131,0.0116852191403001
J0421-0345,SPL,1400.0,0.0876821209896997,0.0347887644194887,0.1341596571826705,0.0678571323784729
J0435+2749,SPL,1400.0,0.0353446072023062,0.0121511683616791,0.0132300769919433,0.0063590292128597
J0448-2749,SPL,1360.0,3.8302029103256414,5.358525418407544,2.273996149468952,4.176218055964333
J0452-1759,BPL,4850.0,0.9298320420447768,0.2123087712685272,0.132849725923256,0.0443721337021828
J0459-0210,BPL,1360.0,0.2835134960004609,0.1903485155783368,1.3094348738037669,1.3442325996116202
J0517+2212,SPL,1400.0,0.0662429489070861,0.0230630954506316,0.0297412395652471,0.0158077537302646
J0520-2553,SPL,1360.0,0.1114185705762755,0.043373821179179,0.0920184044401447,0.0452346990092818
J0534+2200,BPL,1435.0,0.2556757097833735,0.0287662641912093,0.2263474575125591,0.0353036839137567
J0536-7543,SPL,3100.0,1.0518438696558303,0.3329066946948587,0.285767338534351,0.1396879743789478
J0538+2817,SPL,4820.0,0.4081955658594473,0.1749005430534967,0.0629589329330208,0.0350259744406914
J0601-0527,LFTO,4850.0,0.2727801221663213,0.0799550613165312,0.032963076321159,0.0146356444608292
J0612+3721,BPL,4850.0,0.103089277975895,0.0248888239404648,0.0265527141143018,0.0088624025893377
J0613+3731,SPL,1400.0,0.0407644203240605,0.0173938843672437,0.0218718255610984,0.0107985036499101
J0613-0200,LFTO,3100.0,0.1324646031358178,0.0250424590663345,0.0105685001815707,0.0044470846106145
J0614+2229,LFTO,4850.0,0.1433497593146339,0.0313463487891727,0.0208642416353208,0.0063862627608079
J0624-0424,SPL,1408.0,0.3249838222244302,0.1479808418282727,0.1491116289383207,0.0864861222466507
J0627+0706,SPL,3100.0,0.1607556390762091,0.0521005405328201,0.022642911043685,0.0099444946911141
J0629+2415,SPL,4850.0,0.7850210793010934,0.3025374757863252,0.1131353404038852,0.0587959511756196
J0631+1036,SPL,1400.0,0.0913264454607862,0.0241216377201873,0.0086499555727611,0.0034703053737762
J0636+5128,SPL,1400.0,0.2993983019243021,0.1873186393648837,0.2038853126219726,0.1603255187618809
J0645+5158,SPL,1400.0,0.056335276688251,0.02328241636134,0.0327214364679977,0.016445808005162
J0653+8051,SPL,4850.0,0.0614123709552835,0.0207192023893709,0.0120910049867567,0.0051693153190227
J0656-2228,SPL,3100.0,0.3627858875183596,0.282333046099031,0.1628880167234156,0.1700860104215212
J0711-6830,SPL,3100.0,0.3824495437854774,0.1518218147870453,0.0372761737322523,0.0210645611603616
J0719-2545,SPL,1459.32,0.1697731380199281,0.0718557041245107,0.0310317806301798,0.0201247276779649
J0729-1448,SPL,3100.0,0.0930803741702501,0.0305916279727239,0.0173516970215618,0.0083404487820055
J0729-1836,SPL,3100.0,0.1963365163166978,0.0640456133258961,0.0367828160566377,0.0157677647350758
J0740+6620,SPL,1400.0,0.7297573495262973,0.5216363208120846,0.4458470298870498,0.3766678200507288
J0751+1807,SPL,2695.0,0.5415216330334819,0.3424589157133875,0.0882980779312363,0.077717645699584
J0754+3231,SPL,4850.0,0.1507641099428264,0.0620295302533179,0.0261714382343331,0.0140612507099661
J0758-1528,SPL,4850.0,0.1897004390556522,0.0699980679349794,0.026862428520745,0.0130964698446655
J0809-4753,LFTO,3100.0,0.1162716445038254,0.0190147017633145,0.0336136859002016,0.0082215315825972
J0815+4611,SPL,1532.0,0.0635163689778756,0.0241377466949089,0.0423783043517936,0.0203618081602948
J0820-1350,LFTO,4850.0,0.2966425371136763,0.045316337320278,0.0474414708467884,0.0146569087490203
J0820-3826,SPL,3100.0,0.0420477282107575,0.0123717039357839,0.0055178625510894,0.002313866766672
J0820-3921,SPL,1460.04,0.0409553881087889,0.0101238051550605,0.0053691256482792,0.0019204329644782
J0820-4114,BPL,3100.0,0.2877337349695547,0.0575664419092493,0.1628535445747463,0.0493119589657191
J0831-4406,SPL,1461.16,0.1240263191895579,0.0524919898634248,0.1153748385360493,0.0749363127593142
J0834-4159,SPL,3100.0,0.0336942939421227,0.0108846876484319,0.0081103958092482,0.0038647137145972
J0842-4851,SPL,1400.0,0.1142785714430451,0.0345615442088595,0.008251252505104,0.0037659989983761
J0846-3533,LFTO,3100.0,0.2106030151138655,0.0425764826547276,0.0657359847099269,0.02012750366242
J0849+8028,SPL,1420.0,0.0421941182773365,0.0160468945705166,0.0333638485072335,0.0156785794112767
J0855-4644,SPL,3100.0,0.0591155847695144,0.0262462162125268,0.0069238303849315,0.0047329703266533
J0857-4424,SPL,3100.0,0.0666600182168466,0.0157588247777613,0.0076456978640218,0.0022989001287345
J0900-3144,SPL,3100.0,0.5669868649401305,0.219603259989549,0.196662111004442,0.1133876688281157
J0901-4624,SPL,3100.0,0.1193895158779002,0.0577045403540488,0.0260714413616564,0.0208702676219344
J0902-6325,SPL,1360.0,0.3075890797638062,0.1279611857199803,0.1618211526828508,0.0872532425762012
J0904-4246,SPL,1400.0,0.0474665534986353,0.0118955801230243,0.0271724526764736,0.0099329172031257
J0905-5127,SPL,3100.0,0.0980078199716825,0.0274547810282074,0.0136486861586942,0.0054305464419562
J0907-5157,LFTO,3100.0,2.7240541125429374,1.1772509923640866,0.6429150154351119,0.3616874934120656
J0908-1739,LFTO,4850.0,0.4246034554130492,0.1550140072326767,0.0643220612801308,0.0305479961542475
J0909-7212,SPL,1382.0,0.200118410574137,0.0764863817043353,0.1355315801266963,0.072553212789184
J0924-5302,SPL,3100.0,0.0942193505695383,0.0238108845953666,0.0175922212897573,0.0055214808761661
J0924-5814,SPL,3100.0,1.2439325036422983,0.6214422472884008,0.240498014951448,0.1593451598722886
J0931-1902,SPL,1400.0,0.145150060174333,0.0761461071467253,0.0612665329720884,0.0460392006324256
J0932-3217,SPL,1459.61,0.0636006938711318,0.0248704402201477,0.0106360366193605,0.0062595647196806
J0934-5249,SPL,3100.0,0.064323035513554,0.0122795344106569,0.0155321794757094,0.004118190725215
J0940-5428,SPL,3100.0,0.1774554875518963,0.0899307700910457,0.0285706762601985,0.0233122148024229
J0942-5552,LFTO,3100.0,0.1997355470560215,0.0143854080394521,0.0064112145384137,0.000706951410739
J0942-5657,SPL,3100.0,0.0495787479315091,0.0111608577228169,0.0118715725548885,0.0034478983814514
J0943+1631,LFTO,3100.0,0.0999259815188842,0.0288669887836674,0.0736243908812694,0.0315101834196345
J0943+2253,SPL,1400.0,0.0814939208769502,0.0330175454203263,0.0310153632297525,0.0158134700988115
J0944-1354,SPL,4850.0,0.0520149399209215,0.0147246498467119,0.0124606990757397,0.0042728709228894
J0954-5430,SPL,3100.0,0.3042218831835197,0.2334733316220487,0.068092853578317,0.0802262897182899
J0959-4809,SPL,3100.0,0.2447254479022231,0.0813630845940379,0.0734267180189852,0.0293420127823643
J1001-5507,BPL,3100.0,0.2620657914326751,0.043701504483348,0.118886549878135,0.0282285960715282
J1012-5857,SPL,3100.0,0.1943163097165334,0.0572317242328627,0.0229173033842241,0.0103469307884837
J1013-5934,SPL,3100.0,0.596703056694861,0.3095267793595613,0.1901306865008931,0.1425588718303073
J1015-5719,SPL,3100.0,1.500120218161607,1.28119232961618,0.2149835561129984,0.3337944077972054
J1016-5345,SPL,3100.0,0.071633251158048,0.0229306149970311,0.0306305115620388,0.0132814472783002
J1016-5857,SPL,3100.0,0.1555898061022914,0.0640829709225085,0.0219239259072488,0.0139801307366381
J1017-5621,LFTO,3100.0,0.0785976556161605,0.0127205320764275,0.0238170551961902,0.0062208223449895
J1017-7156,SPL,3100.0,0.0925737997743602,0.0276247504934444,0.0090159464512268,0.0041088507697379
J1019-5749,SPL,3100.0,4.362409388648735,10.396324060403048,0.5484861479936923,2.6354278869669336
J1024-0719,BPL,4850.0,0.3837721440574878,0.2469073443236521,,
J1028-5819,SPL,3100.0,0.1486534687909536,0.1166902287234973,0.1066920761521952,0.1293527813988131
J1034-3224,SPL,3100.0,1.0422407116353003,0.4562316767372766,0.2090893257591937,0.1125780372596496
J1036-4926,SPL,1382.0,0.1072651384768735,0.0383249403685538,0.0483394409238363,0.024105051716666
J1038-5831,SPL,3100.0,0.1706080881612833,0.0688889859858897,0.1915717693021511,0.1185577939797034
J1041-1942,SPL,4850.0,0.4707620780286134,0.1904374024710518,0.0792322726449668,0.0395563308637729
J1043-6116,SPL,3100.0,0.2809481736447503,0.124948339309649,0.0335366517307149,0.0221546953100393
J1046-5813,SPL,3100.0,0.0875968766866639,0.0201168061996611,0.0194993323686797,0.0068632819733622
J1047-3032,SPL,1360.0,0.1551907681934379,0.0589810740993564,0.0829262705988927,0.0400117176777554
J1047-6709,SPL,3100.0,1.1654911979012876,0.7605455987433053,0.3743459061924127,0.3492752267304812
J1052-5954,SPL,3100.0,0.045246967164173,0.0238347325824031,0.0075829086048457,0.006497273758523
J1055-6028,SPL,3100.0,0.0602005783173081,0.0190991860057061,0.0090910285426882,0.0045730841364221
J1057-5226,LFTO,3100.0,0.1955552511177434,0.0338454033508028,0.1419875718192138,0.0352774992662203
J1105-6107,SPL,3100.0,0.2678695902261422,0.1178350010702352,0.0400667135517135,0.0256935315577406
J1107-5947,SPL,1460.04,0.1247351864393024,0.0430472553763074,0.0514333173596068,0.0273044153557219
J1107-6143,SPL,1522.1,0.0980998415844238,0.0336978371386297,0.03501928254369,0.01858573707091
J1112-6103,SPL,3100.0,0.6464201854232239,0.3331425958012258,0.1031088139403923,0.0849234855724219
J1112-6613,SPL,3100.0,0.1272669400402943,0.0318301042553042,0.0308525194547348,0.0104813127512581
J1112-6926,SPL,3100.0,0.1033743687350746,0.0315978350932713,0.047089703016754,0.0176548455785049
J1115-6052,SPL,3100.0,0.1164232903902835,0.0539741594529791,0.0136707437315205,0.0100337016846176
J1119-6127,SPL,3100.0,0.1748993729444874,0.0663664061443729,0.0326876093318842,0.0192335249232375
J1119-7936,SPL,1360.0,0.0494994790395481,0.0120058584197987,0.0312015055687796,0.0107755817134645
J1123-4844,SPL,3100.0,0.2365320381678164,0.1009674044870371,0.0743576293825833,0.0407962980394258
J1125+7819,SPL,1400.0,0.1301211265749351,0.0438057658495019,0.1508803560529237,0.0648313672382153
J1126-6054,SPL,3100.0,0.12700531876392,0.0401540032124154,0.1115477678380526,0.0540581265997171
J1133-6250,SPL,3100.0,0.6247074158526009,0.198243854738727,0.267965531466709,0.1335336859694137
J1138-6207,SPL,3100.0,0.174097310714655,0.0932233390171092,0.0302259790266045,0.0258418838045067
J1141-3322,SPL,1382.0,1.2590361308652518,1.0214359730544151,0.6509549786782522,0.698399015469622
J1146-6030,BPL,3100.0,0.4678960049689913,0.1520711018169657,,
J1156-5707,SPL,3100.0,0.0719618101034273,0.0336878412349513,0.0122623338063023,0.0089460396487418
J1157-6224,SPL,3100.0,0.514010858690354,0.1009834778132161,0.189197360178461,0.0515431913936844
J1202-5820,SPL,3100.0,0.2936332420933718,0.0907588805456895,0.0848174632444285,0.0319968184472559
J1224-6407,BPL,3100.0,1.2014471683964367,0.4137611159183237,,
J1225-6035,SPL,1459.32,0.0359420408483513,0.0111617782500209,0.0416402913154465,0.0197899740751281
J1231-1411,SPL,1284.0,0.0366524625484402,0.0128619039137576,0.00953074327671,0.0046562566259039
J1240-4124,SPL,1360.0,0.05659153442117,0.016439433737828,0.0270213489924553,0.0101870060383174
J1246+2253,SPL,1400.0,0.0892697889719126,0.0399406595298245,0.0241904280259961,0.0152933984013404
J1253-5820,SPL,3100.0,0.5365004147904524,0.1856985669218879,0.2481573968956606,0.123119946904537
J1257-1027,SPL,4850.0,0.206211921508349,0.0744082860170854,0.0255035198468721,0.0119017956887968
J1259-6741,SPL,3100.0,0.2145449062531385,0.0841972140152245,0.0692470267597482,0.0392068422894255
J1301-6305,SPL,3100.0,0.1443498396077406,0.0771160341714308,0.0228436263679629,0.0187481941826535
J1305-6203,SPL,3100.0,0.1201739851169903,0.0481489046082261,0.0246276086564456,0.0156131060514706
J1305-6455,SPL,3100.0,0.111564034448862,0.0218747180035225,0.0765355537761705,0.0207075799361307
J1306-6617,SPL,3100.0,0.5011712859306036,0.1483776123000584,0.2335461511698621,0.1059416623235146
J1311-1228,SPL,1420.0,0.0381388274498095,0.0102963306767593,0.0212063128018992,0.0073805985012612
J1312-5402,SPL,3100.0,0.0902415414758371,0.0285397679206868,0.0129568918413878,0.0058437378946407
J1312-5516,SPL,3100.0,0.2776234787485642,0.077109420468071,0.0706134757543395,0.0300424930966594
J1317-6302,SPL,3100.0,0.08541637239257,0.0215439667133992,0.021846784590317,0.0081718365817283
J1319-6056,SPL,3100.0,0.0760416572586154,0.0158050675853217,0.0260604330491766,0.0078233714736862
J1319-6105,SPL,3100.0,0.283562122582198,0.123782846575064,0.0670419973411948,0.0449488753597466
J1320-3512,SPL,1435.0,28.102791081370583,58.24468214560895,7.941191107881615,23.818412667381867
J1321+8323,SPL,606.0,8.441984364894491,8.351882955863138,3.983256410297396,4.781714055500957
J1326-6408,SPL,3100.0,0.1117734645832959,0.0222251716381775,0.0221247184239149,0.0067629182307657
J1326-6700,SPL,3100.0,2.907586774833234,1.3813092425521187,0.8508778118685068,0.6027864778210604
J1327-6301,SPL,3100.0,0.3306890358925241,0.087588996129745,0.1363633741799749,0.051584884484139
J1327-6400,SPL,3100.0,0.0442373717015492,0.0187943176964967,0.0101225582125925,0.0069354417102473
J1328-4357,SPL,1360.0,0.9651825025359534,0.4311617029402169,0.3006524766223752,0.1684270741640983
J1338-6204,SPL,3100.0,0.6498915846606935,0.2513993680218936,0.211128999541092,0.1296804602275781
J1340-6456,SPL,1400.0,0.1688337823070339,0.0627032025916728,0.0451178957824259,0.0221506610810683
J1349-6130,SPL,3100.0,0.1940493222987648,0.0952692603385231,0.0290687456342048,0.0233821388737259
J1355-5925,SPL,1522.34,0.1000835016815533,0.0347975998046902,0.0660749964600202,0.0355288395013513
J1357-62,SPL,3100.0,1.0043069302276135,0.2988106007099433,0.3224856518744216,0.1447468371859221
J1357-6429,SPL,3100.0,0.0774176017028269,0.0281329262167862,0.0198318030677438,0.0110944389883647
J1400-6325,SPL,3000.0,0.0639612130872879,0.0307114499866291,0.0614392650338031,0.0432383227639233
J1401-6357,SPL,3100.0,0.5691026086488178,0.1458892659251432,0.1820423913538444,0.0660988090741743
J1412-6145,SPL,3100.0,0.0968620280581712,0.0346977496878095,0.0120530303719756,0.0073234810125078
J1413-6141,SPL,3100.0,0.3666611449020119,0.2423262568011598,0.053291900328073,0.0573909502674015
J1413-6307,SPL,3100.0,0.2536491605012659,0.1186028824251085,0.1248725842570121,0.0904443180521955
J1415-6621,SPL,1459.32,0.0601964449000596,0.0195415017071151,0.0228821920143373,0.0113456879721799
J1418-3921,SPL,1369.0,0.0731130049919412,0.0186219318521456,0.0054085348789529,0.0020664215761103
J1420-6048,SPL,3100.0,0.7780549747651238,0.6315377378791925,0.1036321453143057,0.1392418261858767
J1424-5556,SPL,1459.11,0.0387372914762802,0.0100798833072939,0.0420108498321482,0.016738844250927
J1424-5822,SPL,3100.0,0.1007110224630836,0.0270040563509381,0.042811054138443,0.0171097437641337
J1428-5530,SPL,1400.0,1.2307505646439332,0.4623567425776551,0.2567745230812546,0.1480677746672864
J1452-5851,SPL,3100.0,0.0704151159314415,0.0318342757554387,0.0108980028272713,0.0081142473299343
J1509+5531,LFTO,4820.0,0.4647476381072332,0.0709368931747739,0.0926205230946557,0.0233491756983518
J1510-4422,SPL,408.0,0.4777313828373964,0.1883790100095838,0.916013001850862,0.4363457388680524
J1513-5908,LFTO,3100.0,0.1371676723708514,0.0362543197724852,0.0274854587072443,0.0118382342014031
J1514-5925,SPL,3100.0,0.112529987608169,0.0681179534105987,0.0169899633217668,0.0170771215680393
J1518+4904,BPL,4850.0,0.2044986663543004,0.0374621429160278,,
J1524-5625,SPL,3100.0,0.3487205209291186,0.1803448003870159,0.0436955184870154,0.0372666726737357
J1527-3931,SPL,843.0,0.2062373178945476,0.0729040154059494,0.10118561656031,0.0455297630074658
J1530-5327,SPL,3100.0,0.2587872775145279,0.1361234704286654,0.0800139202062209,0.0649227033112811
J1534-5334,SPL,1577.0,1.103678560181707,0.4264091183572843,0.2471799697230601,0.1220322579577304
J1534-5405,SPL,3100.0,0.0618420359924197,0.0111931759532146,0.0162421883858176,0.0045110033483417
J1537-5645,SPL,1460.04,0.3466121852731929,0.1721278783323937,0.3329768251825802,0.2540481108650295
J1538-5551,SPL,3100.0,0.0488909014910809,0.0178366725215084,0.011544309830745,0.0066869877548982
J1541-5535,SPL,3100.0,0.1254778667030514,0.0813217546460026,0.0182535462624778,0.020167904182482
J1543-5459,SPL,3100.0,0.0944574312167775,0.0305280749425014,0.02103409643143,0.010708839730764
J1544-5308,SPL,1577.0,0.9571942442599348,0.3643690645294209,0.1226848854867101,0.0716752827207688
J1548-4927,SPL,3100.0,0.044227867195004,0.0106446620269353,0.0231291535375437,0.0084903085050057
J1548-5607,SPL,3100.0,0.1348300841000742,0.0422922910711851,0.0182504467078543,0.0090550080858818
J1549-4848,SPL,3100.0,0.0873192658315087,0.0219864511264664,0.0303410424215087,0.0110289416365402
J1551-5310,SPL,3100.0,0.1262499636023723,0.0508217209896268,0.0135639389702766,0.009577275961645
J1555-2341,SPL,4850.0,0.1000092679711845,0.0300880192726839,0.0201731916100996,0.0079463845755018
J1555-3134,SPL,1408.0,0.8696100417120552,0.3734223256924297,0.0925536515516282,0.0605759216213682
J1557-4258,SPL,1369.0,0.129880157668234,0.0237779589719687,0.0277804410144222,0.0077853920285856
J1600-3053,LFTO,4820.0,0.3027986599436009,0.04620969956828,,
J1600-5751,SPL,3100.0,0.1995170005778875,0.0513524713187871,0.0348864009858966,0.0130457129669899
J1601-5335,SPL,3100.0,0.0315031319556497,0.0109832762827095,0.0086175184676268,0.0045383750814279
J1603-2531,SPL,1435.0,6.697467514122336,7.849202709712363,1.7169445074270917,3.086184152158248
J1603-2712,SPL,1420.0,0.2111461327275935,0.0616412625262435,0.0660393548525288,0.0232482892364714
J1603-5657,SPL,1400.0,0.0882982823322355,0.0250823208709708,0.0586017392380829,0.0255456753804103
J1604-4909,BPL,3100.0,0.2453522240221217,0.0442725143523122,,
J1605-5257,SPL,1577.0,3.7073720583271697,1.788625096360395,1.7554837181411087,1.2304643990454776
J1610-1322,SPL,1420.0,0.0735749865970519,0.0172651120731995,0.014385053334564,0.0050708270603327
J1611-5209,SPL,3100.0,0.3211891697036965,0.1493314833077039,0.0620504525833356,0.0419883561588387
J1613-4714,SPL,3100.0,0.1762388988065079,0.054320813377255,0.041924488892471,0.0166088254561552
J1614-2230,SPL,1400.0,0.1962675253746044,0.0817637257623608,0.0527847428516292,0.0320431462340712
J1614-5048,SPL,3100.0,0.2502653897566435,0.0627480619990311,0.024915847482371,0.0081178018355891
J1615-5537,SPL,3100.0,0.0639345517728695,0.0151673827770286,0.0247309926880041,0.0089774513871916
J1622-4802,SPL,3100.0,0.2024905209108338,0.0942100482983019,0.0673209229082904,0.0481046264992159
J1623-0908,SPL,4850.0,0.0793451420145536,0.023911703486897,0.022009025129209,0.0083305503435224
J1623-4256,SPL,1460.04,0.2964804203703645,0.0929996295734887,0.1202734380909577,0.0578497745606287
J1624-4411,SPL,1460.04,0.0731008314124541,0.0261906066935543,0.0920064254136056,0.0505825582721974
J1626-4537,SPL,3100.0,0.131340852840094,0.0453133316276235,0.0457037213200023,0.0242223694796916
J1626-4807,SPL,3100.0,0.208732240976482,0.1525583770475995,0.0374530482228162,0.0436982095122055
J1627+1419,SPL,430.0,0.1049137860554333,0.0332820037433749,0.0902764568379775,0.0365909287700227
J1627-4706,SPL,3100.0,0.0318526396076319,0.0126769712806067,0.0061534335664212,0.0039160902531061
J1627-4845,SPL,1459.61,0.1354613213727031,0.0605372755094019,0.2281062960538985,0.1564973723358803
J1628-4804,SPL,1460.04,0.1344943499096423,0.0416488081798162,0.1359300951771719,0.0646047771037014
J1632-4621,SPL,3100.0,0.0768479792389586,0.0205877524788649,0.0181578261942993,0.0074958991150559
J1632-4757,SPL,3100.0,0.1158924268765989,0.0534724970303995,0.0144955874325111,0.0114279118181533
J1632-4818,SPL,3100.0,0.0401253645875484,0.0109120166166163,0.0059025595002782,0.0026944350209496
J1633-4453,SPL,3100.0,0.4154340522030981,0.1512664254021677,0.3059424969934183,0.1707436892167833
J1633-5015,LFTO,3100.0,0.3083327749368386,0.0587061070287382,0.1012568304179618,0.0286796720362112
J1636-4803,SPL,3100.0,0.131967003622796,0.0317844767270364,0.0316883279229457,0.0117332438881391
J1637-4553,SPL,3100.0,0.1930869904428796,0.0707611319444412,0.029235794128314,0.0165600222028015
J1637-4642,SPL,3100.0,0.3868586677173655,0.2467945563170637,0.052187887345672,0.0544836945494536
J1638-3815,SPL,1460.04,0.3279495419086892,0.2216227638387524,0.0849027817945709,0.0873985298956856
J1638-4608,SPL,3100.0,0.0554209465091351,0.0183665283738856,0.009687444264342,0.0050953135560562
J1640+2224,SPL,2695.0,0.0526691104104646,0.0174027786660631,0.01483900241857,0.0059197198587841
J1640-4715,SPL,3100.0,0.3420036015218225,0.1544388163957529,0.0416506403862949,0.0314481848784327
J1643-1224,BPL,4850.0,0.6129371475822568,0.2359765974919,,
J1643-4505,SPL,3100.0,0.2001405899929425,0.1304722581068844,0.0344615689426141,0.0356589620513464
J1646-6831,SPL,3100.0,0.6301988946341607,0.2344560843824878,0.4072188286093355,0.2030357461822182
J1647+6608,SPL,350.0,0.5507900675041865,0.3551629537988989,0.4430511319693905,0.3485095652125174
J1648-4611,SPL,3100.0,0.3904110761635775,0.3086689542214493,0.059483800447826,0.0754222327418377
J1649+2533,SPL,430.0,11265.860206949084,90126.88165556196,889.2941199810061,7114.35287165372
J1649-3805,SPL,1460.04,0.0681494456124789,0.0140595321438804,0.0463457332511717,0.014633543560743
J1649-4653,SPL,3100.0,0.0709500865100072,0.0303437369542007,0.0127529535468912,0.0085478983980015
J1650-4502,SPL,3100.0,0.1735224409240368,0.0924604035589418,0.0449955220780611,0.0380689336938241
J1650-4921,SPL,3100.0,0.3286546674602288,0.3572278417754884,0.0739911073656068,0.1292034577848824
