Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J0215+6218,SPL,350.0,16.187358059039923,11.879044860495648,17.02062983019572,11.73232622614067
J0340+4130,SPL,400.0,8.577633707220777,3.581272082198609,7.697837244909588,2.187894981815972
J0536-7543,SPL,400.0,354.4214655086874,112.17375697593958,168.93109262764753,36.8737386780674
J0656-2228,SPL,350.0,1.2897531398026991,1.003732353447341,0.5782162634920981,0.3062817779242056
J0719-2545,SPL,350.0,13.149188995420452,5.565334097914231,4.114660308417395,1.1995780982390014
J0721-2038,SPL,350.0,8.354585517509578,2.707628686693992,3.612262970584656,0.7793496800436597
J0745-5353,HFCO,400.0,82.93419135571972,36.36770430870747,29.226435886832007,8.030857250559134
J0820-3826,SPL,350.0,20.492672969144017,6.029559588958446,4.246702604675321,0.9055677926356251
J0821-4221,SPL,1276.68,512.3380546898945,60.12232315712404,691.5330598669834,55.67772274808197
J0831-4406,SPL,1276.05,9.607493037865128,4.06620490273326,15.248101920612337,4.43110578434201
J0834-4159,SPL,728.0,10.236696302759258,3.3068875697109483,3.856756601809084,0.8659791683955929
J0838-2621,HFCO,350.0,3.537409823518465,2.741245901460599,2.0115873948864023,0.9973079225080572
J0855-4644,SPL,728.0,3.594565667892987,1.5959200619850389,0.9005955205593055,0.2942075581817059
J0900-3144,SPL,728.0,68.78668795516563,26.64220611254068,35.15604567941286,9.101366076924934
J0901-4624,SPL,728.0,4.724363055144424,2.283426618812699,2.8355857197798824,1.0247177577028053
J0904-4246,SPL,400.0,52.09467001438528,13.05543115019826,42.9884568846537,7.348173067665467
J0909-7212,SPL,400.0,25.965802719326444,9.92427579427588,20.340953412624824,5.1280933457412585
J0931-1902,SPL,350.0,3.794591325304921,1.9906526892766463,2.0570014948462974,0.7180907718421955
J0932-3217,SPL,350.0,7.351387791292901,2.874689558716605,2.03237032370528,0.5509482206160943
J0940-5428,SPL,728.0,5.878214023598634,2.948633804476205,2.481058757128359,0.9133725682996668
J0945-4833,SPL,1278.75,164.05384702920745,24.43458527835324,275.87156026239387,28.12779563992142
J1001-5559,SPL,728.0,138.81906117908875,26.328713131166644,125.1317348408066,16.431098983930294
J1012-5857,SPL,400.0,94.21854849589803,27.750063764611696,18.91839777691664,3.827352770248377
J1013-5934,SPL,728.0,16.513786599053073,8.566168923867025,7.325939928999423,2.587842553167721
J1015-5719,SPL,728.0,3.332112421054927,2.8458231704297097,1.797008404729611,1.1730342189106937
J1016-5345,SPL,400.0,22.78998865467093,7.29533348240686,12.601850787457812,2.9447978739941605
J1016-5819,SPL,728.0,31.85876844484515,7.589661890428116,7.4274647406913505,1.1561847197802684
J1016-5857,SPL,728.0,13.83126064811299,5.696698878536667,4.615187185880596,1.424867843813189
J1017-7156,SPL,728.0,42.011392827226,12.536530287866986,7.6517152728517,1.6291510461811722
J1032-5911,SPL,400.0,162.0712110814931,31.600839799477253,82.99007583099731,11.111698480514066
