,ATNF Period (s),ATNF Pdot,ATNF Spin Frequency (Hz),ATNF Fdot,ATNF DM,ATNF B_surf (G),ATNF B_LC (G),ATNF E_dot (ergs/s),Probability Best,Min freq (MHz),Max freq (MHz),N data flux,Bandwidth fit?,L400 (mJy kpc^2),L1400 (mJy kpc^2),Age (Yr),a,u_a,c,u_c,vb,u_vb,a1,u_a1,a2,u_a2,vc,u_vc,vpeak,u_vpeak,beta,u_beta,SMART
ATNF Period (s),1.0,0.1032199972971225,-0.19512678494599803,0.039195358321645,-0.0033748649970910026,0.2612681971251268,0.7312729073620443,-0.02969573576169124,0.0020365374120296085,-0.015714342515970158,0.0028254426850137303,-0.03477618412776553,-0.01939815506019012,0.07729330830133775,0.016068826609632793,-0.1545120802076359,-0.05810432870873343,0.04825144221292873,-0.0010301894459707835,-0.001041774727015554,-0.1909429516680562,-0.08577596035750955,0.041811509479549216,-0.03562171844466007,-0.052951300981090584,0.2653602379269267,-0.10229114747080026,-0.083883974039259,-0.21255212465468168,-0.14913041854269754,-0.014736439448348576,0.1465681444242214,0.0059341162210749055
ATNF Pdot,0.1032199972971225,1.0,-0.02297696761148276,-0.05321392072476777,0.30517294950479756,0.9394152559496629,0.03946965215488527,0.02464580027345962,0.02627404400434772,0.14922154841559374,0.3695441703578247,-0.027964865628419665,-0.041605113950068995,0.06851907748148021,-0.003615598881742137,-0.01990184538673706,0.06024968423819155,-0.012494911640951333,-0.0034889916688470727,-0.0034876609657600757,-0.06892214017715448,-0.01672673158291139,0.28771527706004085,-0.025143126883510374,-0.07210303134301367,-0.04890236970776258,0.025901240368503862,0.00715904049718927,0.3429965915618582,0.28580007888104175,0.1725807492963837,0.07950797908494,-0.023550313659002866
ATNF Spin Frequency (Hz),-0.19512678494599803,-0.02297696761148276,1.0,0.004952048057716252,-0.20042348760937606,-0.07235979160465335,-0.011341755356023421,0.0024725472701147464,0.07012483928591408,-0.11460316877387423,-0.019458743814894375,0.06350789809863296,-0.08425293022574683,-0.038689145226188625,-0.01452062839971069,0.5596281740908013,-0.11921249278072209,-0.05252619571880298,-0.01267202432598297,-0.01266695071984999,0.4878064461808711,-0.027154879967371225,-0.2973376052534266,-0.09367220487200743,0.04973994124184517,-0.08856863024034023,0.0799951370655963,0.10466025527276894,0.03291008334798,-0.1091800489036642,-0.0734806679380719,-0.16751334750391023,-0.03045964670648568
ATNF Fdot,0.039195358321645,-0.05321392072476777,0.004952048057716252,1.0,-0.007525155169854686,-0.026165441575799475,0.0024641737737298632,-0.9867276180488326,0.04471683539787681,0.01183703554997429,-0.03216013697844179,0.0018534744798592516,0.05781961189334816,-0.009588172678904964,0.002987425968526133,0.017220684285455253,-0.07580734793507427,0.010622935727064025,0.003088889241480575,0.0030877129050494623,0.07101413520590599,0.031594552372391026,-0.2652272379471681,-0.0034675618737860293,0.10446180440872148,0.013403681741180286,0.012111380955583588,0.023834140897788413,-0.46398229138047353,-0.454134404617971,-0.04240205947678959,-0.04355423782695735,-0.07910939058548128
ATNF DM,-0.0033748649970910026,0.30517294950479756,-0.20042348760937606,-0.007525155169854686,1.0,0.3592550771086859,-0.012674854366102724,-0.010244154704496512,0.1066721819166347,0.6814290166186233,0.07891366914002561,-0.2319970783979865,0.15979841853258245,0.11573549953084077,-0.025241219429975204,-0.19546430575161197,0.054295841637348095,0.07580652505206277,-0.03778162592226153,-0.037767394197731334,-0.004949060695183639,-0.14848964092599432,0.1321763427503192,-0.07753154081698299,-0.1312834756160659,0.01713782619297506,-0.1045043033116522,-0.15106573901191508,0.4432537018909542,0.6318443509347905,0.20057643720018928,0.29103774240877783,-0.2512612662001526
ATNF B_surf (G),0.2612681971251268,0.9394152559496629,-0.07235979160465335,-0.026165441575799475,0.3592550771086859,1.0,0.11924746247868759,0.006006418240736757,0.02876204293876032,0.20137544075544786,0.3394966139341474,-0.037374985865526504,-0.014949482024263043,0.2111304193113542,-0.00734496686199506,-0.06283115729888136,0.02456350981133025,0.004878322279592547,-0.007045356754162109,-0.0070431342272004325,-0.1380770099824371,-0.0184339258332764,0.18285788780338508,-0.008686819687600744,-0.1179766954016404,-0.028008156999563067,0.0710955828249619,0.040508858231818184,0.2714052847130691,0.16654545381927835,0.18751428378066007,0.09944063405758671,-0.039754437295805745
ATNF B_LC (G),0.7312729073620443,0.03946965215488527,-0.011341755356023421,0.0024641737737298632,-0.012674854366102724,0.11924746247868759,1.0,-0.0017832732440117586,0.023568249104032424,-0.019585686980170502,0.00986167164797836,-0.02133798456411237,-0.04829955110392201,0.0016063600681457046,-0.0018948508439099575,-0.009053330722431448,-0.03650310401995743,-0.0040887878812228655,-0.0016798658113752487,-0.0016792367805632843,-0.06983421780702245,-0.027429782039353517,0.054730552519305586,-0.04123686361822897,0.006692185947877747,-0.02123484706618282,-0.05517164139127674,-0.04867206110511567,0.05717628101752728,-0.05106185369667627,0.10108792265875144,0.10528288914254262,-0.013657011143772341
ATNF E_dot (ergs/s),-0.02969573576169124,0.02464580027345962,0.0024725472701147464,-0.9867276180488326,-0.010244154704496512,0.006006418240736757,-0.0017832732440117586,1.0,-0.040251955955839434,-0.024274511094306606,0.007958322859358928,-0.000275645628284723,-0.056611391933433695,0.012286978345935786,-0.0020719967881564863,-0.011691463422341829,0.0437777122205038,-0.0001987014224449212,-0.0021485640840967417,-0.002147753395066508,-0.07180019589377865,-0.03218952737978357,0.2635245626837936,0.005795235900997385,-0.10710955318869023,-0.011697331581851841,-0.014982882255171642,-0.03009135737617034,0.4204713807082009,0.3730905968931645,-0.013759023139363998,0.008628182921905397,0.08579248134268495
Probability Best,0.0020365374120296085,0.02627404400434772,0.07012483928591408,0.04471683539787681,0.1066721819166347,0.02876204293876032,0.023568249104032424,-0.040251955955839434,1.0,0.27137997205968833,-0.00041443468621469237,-0.23289419088118934,0.09730185521818908,-0.04856120907484931,0.025512172382997543,0.04123780664810293,0.02763573013518719,0.0722166289596683,-0.06229428428236698,-0.06230421680660836,0.05455132102949009,-0.21758635125433287,-0.16125983466876928,-0.4255213774178789,0.23165655915636935,-0.17213776042411963,0.0703068702663985,0.10926712204882524,-0.19439641079469194,-0.33802175502108023,0.1402584822290202,-0.03818094818592168,-0.16987818701714935
Min freq (MHz),-0.015714342515970158,0.14922154841559374,-0.11460316877387423,0.01183703554997429,0.6814290166186233,0.20137544075544786,-0.019585686980170502,-0.024274511094306606,0.27137997205968833,1.0,0.0039380864425731296,-0.3558478751411237,0.2981823754152057,0.08631648817782854,-0.03248148213774513,-0.12361905213130168,0.021082032398863117,0.15442117705904118,-0.042591147727036476,-0.042575139740076276,0.08455496334685823,0.016474284258572627,0.10850131972815236,0.07539238037735303,-0.10252200936602258,-0.02839262078970163,-0.05620916332534789,-0.12489859403944786,0.885939026342717,0.5585906826474426,0.23104168114545612,0.21814206454987725,-0.2840114204331841
